intersect,genes
DTE,ENSG00000100138
DTE,ENSG00000141404
DTE,ENSG00000186815
DTE,ENSG00000105701
DTE,ENSG00000100142
DTE,ENSG00000150401
DTE,ENSG00000221914
DTE,ENSG00000152672
DTE,ENSG00000155660
DTE,ENSG00000168878
DTE,ENSG00000065618
DTE,ENSG00000196839
DTE,ENSG00000061987
DTE,ENSG00000154429
DTE,ENSG00000134759
DTE,ENSG00000161981
DTE,ENSG00000124357
DTE,ENSG00000123473
DTE,ENSG00000272636
DTE,ENSG00000170324
DTE,ENSG00000167779
DTE,ENSG00000130751
DTE,ENSG00000073282
DTE,ENSG00000165685
DTE,ENSG00000198838
DTE,ENSG00000119125
DTE,ENSG00000197013
DTE,ENSG00000104313
DTE,ENSG00000172508
DTE,ENSG00000198121
DTE,ENSG00000138435
DTE,ENSG00000175344
DTE,ENSG00000141744
DTE,ENSG00000196553
DTE,ENSG00000104763
DTE,ENSG00000172969
DTE,ENSG00000070961
DTE,ENSG00000213047
DTE,ENSG00000109971
DTE,ENSG00000205609
DTE,ENSG00000074317
DTE,ENSG00000196498
DTE,ENSG00000164483
DTE,ENSG00000172809
DTE,ENSG00000084207
DTE,ENSG00000153207
DTE,ENSG00000114062
DTE,ENSG00000184863
DTE,ENSG00000135686
DTE,ENSG00000137207
DTE,ENSG00000139620
DTE,ENSG00000270011
DTE,ENSG00000184432
DTE,ENSG00000139200
DTE,ENSG00000101199
DTE,ENSG00000145826
DTE,ENSG00000206140
DTE,ENSG00000112078
DTE,ENSG00000240038
DTE,ENSG00000072756
DTE,ENSG00000163596
DTE,ENSG00000071082
DTE,ENSG00000109475
DTE,ENSG00000179889
DTE,ENSG00000113456
DTE,ENSG00000242173
DTE,ENSG00000163126
DTE,ENSG00000124172
DTE,ENSG00000112062
DTE,ENSG00000131725
DTE,ENSG00000180817
DTE,ENSG00000151572
DTE,ENSG00000164929
DTE,ENSG00000187243
DTE,ENSG00000166478
DTE,ENSG00000196169
DTE,ENSG00000042317
DTE,ENSG00000139793
DTE,ENSG00000165219
DTE,ENSG00000106013
DTE,ENSG00000100884
DTE,ENSG00000154864
DTE,ENSG00000091656
